
j' [ʒ]
agréger [aɡʁeʒe]
agrément [aɡʁemâ]
agrémenter [aɡʁemâte]
agrès [aɡʁɛ]
agresser [aɡʁese]
agresseur [aɡʁesœʁ]
agressif [aɡʁesif]
agression [aɡʁesjô]
agressivement [aɡʁesivmâ]
agressivité [aɡʁesivite]
agreste [aɡʁɛst]
agricole [aɡʁikɔl]
agriculteur [aɡʁikyltœʁ]
agriculture [aɡʁikyltyʁ]
agripper [aɡʁipe]
Agrippine [aɡʁipin]
agroalimentaire [aɡʁoalimâtɛʁ]
agronome [aɡʁɔnɔm]
agronomie [aɡʁɔnɔmi]
agronomique [aɡʁɔnɔmik]
agrume [aɡʁym]
aguerrir [aɡeʁiʁ]
aguets [aɡɛ]
ah [a]
Ah [a]
Ahmedabad [amɛdabad]
Ahmed [amɛd]
ahuri [ayʁi]
ahurissement [ayʁismâ]
aï [ai]
Aïcha [aiʃa]
ai [ɛ]
aidant [ɛdâ]
aide [ɛd]
Aïd-el-Adha [aidɛlada]
Aïd-el-Kébir [aidɛlkebiʁ]
aider [ede]
aïeul [ajœl]
aïeux [ajø]
aigle [ɛɡl]
Aigoual [eɡwal]
aigre [ɛɡʁ]
aigrement [ɛɡʁəmâ]
aigret [ɛɡʁɛ]
aigreur [ɛɡʁœʁ]
aigri [eɡʁi]
aigrir [ɛɡʁiʁ]
aigu [eɡy]
aiguière [ɛɡjɛʁ]
aiguillage [eɡɥijaʒ]
aiguille [eɡɥij]
aiguiller [eɡɥije]
aiguillon [eɡɥijô]
aiguillonner [eɡɥijɔne]
aiguiser [eɡize]
ail [aj]
aile [ɛl]
ailé [ele]
aileron [ɛlʁô]
ailette [ɛlɛt]
ailler [aje]
ailleurs [ajœʁ]
aimable [ɛmabl]
aimablement [ɛmabləmâ]
aimantation [ɛmâtasjô]
aimant [ɛmâ]
aimanter [ɛmâte]
Aimée [eme]
aimé [eme]
Aimé [eme]
aimer [eme]
Ain [ê]
aine [ɛn]
aîné [ene]
aînesse [ɛnɛs]
